from,to
Hapoel Jerusalem,Yochay Zuckerman
Hapoel Jerusalem,Lior Eliyahu
Hapoel Jerusalem,Yotam Halperin
Hapoel Jerusalem,Bar Timor
Hapoel Jerusalem,Rafi Menco
Hapoel Jerusalem,Igor Mayor
Maccabi Tel Aviv,Lior Eliyahu
Maccabi Tel Aviv,Yotam Halperin
Maccabi Tel Aviv,Dagan Yivzori
Maccabi Tel Aviv,Itai Segev
Maccabi Tel Aviv,Guy Pnini
Maccabi Tel Aviv,Yogev Ohayon
Maccabi Tel Aviv,Idan Paz
Maccabi Tel Aviv,Yovel Zoosman
Maccabi Tel Aviv,Gal Mekel
Maccabi Haifa,Dagan Yivzori
Bnei Herzliya,Guy Pnini
Hapoel Jerusalem,Guy Pnini
Ironi Naharia,Yogev Ohayon
Hapoel Jerusalem,Yogev Ohayon
Maccabi Haifa,Gal Mekel
Maccabi Haifa,Nir Sarid
Maccabi Haifa,Gilad Karni
Maccabi Haifa,Netanel Artzi
Maccabi Haifa,Tal Aviram
Maccabi Haifa,Oz Blayzer
Bnei Herzliya,Oz Blayzer
Hapoel Eilat,Amit Shimhon
Hapoel Eilat,Aafik Nissim
Hapoel Eilat,Elishay Kadir
Hapoel Eilat,Alon Sapir
Hapoel Eilat,Matan Davidi
Hapoel Eilat,Ram Elias-Pour
Hapoel Jerusalem,Amit Shimhon
Maccabi Rishon,Aafik Nissim
Maccabi Haifa,Aafik Nissim
Hapoel Jerusalem,Elishay Kadir
Maccabi Tel Aviv,Elishay Kadir
Maccabi Haifa,Elishay Kadir
Ironi Naharia,Uri Kokia
Ironi Naharia,Eran Asante
Ironi Naharia,Niv Berkovitz
Ironi Naharia,Tom Slutsky
Ironi Naharia,Roi Navvaro
Ironi Naharia,Tamir Daniel
Hapoel Tel Aviv,Uri Kokia
Bnei Herzliya,Uri Kokia
Maccabi Haifa,Uri Kokia
Hapoel Jerusalem,Uri Kokia
Bnei Herzliya,Niv Berkovitz
Hapoel Eilat,Niv Berkovitz
Bnei Herzliya,Karam Mashour
Bnei Herzliya,Moran Roth
Bnei Herzliya,Aviram Zelikovits
Bnei Herzliya,Yiftach Ziv
Maccabi Haifa,Moran Roth
Maccabi Tel Aviv,Moran Roth
Hapoel Jerusalem,Moran Roth
Maccabi Rishon,Moran Roth
Ironi Naharia,Aviram Zelikovits
Hapoel Tel Aviv,Aviram Zelikovits
Hapoel Tel Aviv,Tamir Blatt
Hapoel Tel Aviv,Robert Rothanbart
Hapoel Tel Aviv,Jonathan Rabinowitz
Hapoel Tel Aviv,Matan Naor
Hapoel Tel Aviv,Raviv Limonad
Hapoel Tel Aviv,Tsuf Ben Moshe
Hapoel Tel Aviv,Omer Shoshani
Hapoel Tel Aviv,Daniel Aidan
Hapoel Tel Aviv,Noam Hason
Hapoel Tel Aviv,Dor Wachner
Ironi Naharia,Robert Rothanbart
Maccabi Haifa,Robert Rothanbart
Hapoel Jerusalem,Matan Naor
Ironi Naharia,Matan Naor
Hapoel Jerusalem,Raviv Limonad
Ironi Naharia,Raviv Limonad
Maccabi Tel Aviv,Raviv Limonad
Maccabi Rishon,Nitzan Hanochi
Maccabi Rishon,Golan Gutt
Maccabi Rishon,Shawn Dawson
Maccabi Rishon,Avi Ben Chimol
Maccabi Rishon,Idan Zalsman
Maccabi Tel Aviv,Idan Zalsman
Bnei Herzliya,Idan Zalsman
Bnei Herzliya,Nitzan Hanochi
Ironi Naharia,Nitzan Hanochi
Hapoel Eilat,Nitzan Hanochi
Hapoel Tel Aviv,Golan Gutt
Maccabi Tel Aviv,Avi Ben Chimol
Maccabi Haifa,Avi Ben Chimol
Hapoel Eilat,Avi Ben Chimol
Bnei Herzliya,Avi Ben Chimol
